,date,sentiment,Count,ticker,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,diff,bin_sentiment,bin_diff
99,2014-09-24,22,154,AAPL,102.16,102.85,101.2,101.75,59725174.0,0.0,1.0,97.0266858529,97.6820148784,96.1149237306,96.6372874465,59725174.0,-0.41,1,-1
100,2014-09-25,5,113,AAPL,100.51,100.71,97.72,97.87,99565849.0,0.0,1.0,95.4595947051,95.6495451473,92.8097860371,92.9522488687,99565849.0,-2.64,1,-1
101,2014-09-26,24,142,AAPL,98.53,100.75,98.4,100.75,62370501.0,0.0,1.0,93.5790853278,95.6875352357,93.4556175404,95.6875352357,62370501.0,2.22,1,1
102,2014-09-29,47,139,AAPL,98.65,100.435,98.63,100.11,49766312.0,0.0,1.0,93.6930555931,95.3883632893,93.6740605489,95.0796938208,49766312.0,1.46,1,1
103,2014-09-30,37,155,AAPL,100.81,101.54,100.53,100.75,55264139.0,0.0,1.0,95.7445203684,96.4378394822,95.4785897494,95.6875352357,55264139.0,-0.06,1,-1
104,2014-10-01,44,130,AAPL,100.59,100.69,98.7,99.18,51491286.0,0.0,1.0,95.535574882,95.6305501031,93.7405432036,94.1964242648,51491286.0,-1.41,1,-1
105,2014-10-02,-10,63,AAPL,99.27,100.22,98.04,99.9,47757828.0,0.0,1.0,94.2819019638,95.184166564,93.1137067445,94.8802458566,47757828.0,0.63,-1,1
106,2014-10-03,34,82,AAPL,99.44,100.21,99.04,99.62,43469585.0,0.0,1.0,94.4433598396,95.1746690419,94.0634589553,94.6143152376,43469585.0,0.18,1,1
107,2014-10-06,-2,206,AAPL,99.95,100.65,99.42,99.62,37051182.0,0.0,1.0,94.9277334671,95.5925600147,94.4243647954,94.6143152376,37051182.0,-0.33,-1,-1
108,2014-10-07,25,84,AAPL,99.43,100.12,98.73,98.75,42094183.0,0.0,1.0,94.4338623175,95.0891913429,93.76903577,93.7880308142,42094183.0,-0.68,1,-1
109,2014-10-08,13,177,AAPL,98.76,101.11,98.31,100.8,57404674.0,0.0,1.0,93.7975283363,96.0294460316,93.3701398414,95.7350228463,57404674.0,2.04,1,1
110,2014-10-09,17,176,AAPL,101.54,102.38,100.61,101.02,77376525.0,0.0,1.0,96.4378394822,97.2356313393,95.5545699262,95.9439683326,77376525.0,-0.52,1,-1
111,2014-10-10,60,134,AAPL,100.69,102.03,100.3,100.73,66331592.0,0.0,1.0,95.6305501031,96.9032180655,95.2601467409,95.6685401915,66331592.0,0.04,1,1
112,2014-10-13,5,114,AAPL,101.33,101.78,99.81,99.81,53583368.0,0.0,1.0,96.238391518,96.6657800128,94.7947681576,94.7947681576,53583368.0,-1.52,1,-1
113,2014-10-14,47,137,AAPL,100.39,100.52,98.57,98.75,63688562.0,0.0,1.0,95.3456244399,95.4690922273,93.6170754162,93.7880308142,63688562.0,-1.64,1,-1
